primary_type,location_description,f0_
ARSON,RESIDENCE - GARAGE,128
CRIMINAL TRESPASS,BARBERSHOP,128
ASSAULT,SCHOOL - PRIVATE GROUNDS,128
ARSON,RESTAURANT,128
CRIMINAL DAMAGE,TAVERN / LIQUOR STORE,128
PUBLIC PEACE VIOLATION,VACANT LOT/LAND,127
ARSON,RESIDENTIAL YARD (FRONT/BACK),126
CRIMINAL DAMAGE,ATM (AUTOMATIC TELLER MACHINE),126
BURGLARY,,126
OTHER OFFENSE,SPORTS ARENA/STADIUM,126
GAMBLING,"SCHOOL, PUBLIC, GROUNDS",126
OTHER OFFENSE,MEDICAL / DENTAL OFFICE,125
OTHER OFFENSE,CHA HALLWAY/STAIRWELL/ELEVATOR,124
NARCOTICS,SPORTS ARENA/STADIUM,124
ASSAULT,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,123
OFFENSE INVOLVING CHILDREN,SCHOOL - PUBLIC BUILDING,123
OTHER OFFENSE,FEDERAL BUILDING,123
BATTERY,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",123
PUBLIC PEACE VIOLATION,BANK,122
OTHER OFFENSE,CTA TRAIN,122
BATTERY,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,122
NARCOTICS,OTHER COMMERCIAL TRANSPORTATION,121
THEFT,LAKEFRONT / WATERFRONT / RIVERBANK,121
CRIMINAL SEXUAL ASSAULT,PARK PROPERTY,121
ASSAULT,JAIL / LOCK-UP FACILITY,120
DECEPTIVE PRACTICE,MEDICAL / DENTAL OFFICE,120
OTHER OFFENSE,CLEANING STORE,120
DECEPTIVE PRACTICE,DAY CARE CENTER,120
SEX OFFENSE,GROCERY FOOD STORE,120
WEAPONS VIOLATION,BAR OR TAVERN,120
GAMBLING,PARKING LOT/GARAGE(NON.RESID.),119
THEFT,SPORTS ARENA / STADIUM,119
DECEPTIVE PRACTICE,CAR WASH,119
CRIMINAL DAMAGE,CEMETARY,118
SEX OFFENSE,HOSPITAL BUILDING / GROUNDS,118
ASSAULT,VEHICLE-COMMERCIAL,118
ROBBERY,HOTEL / MOTEL,118
PROSTITUTION,APARTMENT,117
OTHER OFFENSE,JAIL / LOCK-UP FACILITY,117
NARCOTICS,CAR WASH,117
ASSAULT,OTHER RAILROAD PROP / TRAIN DEPOT,117
ASSAULT,MOVIE HOUSE/THEATER,116
ASSAULT,HIGHWAY/EXPRESSWAY,116
KIDNAPPING,"SCHOOL, PUBLIC, GROUNDS",116
SEX OFFENSE,BAR OR TAVERN,116
CRIMINAL TRESPASS,COLLEGE/UNIVERSITY RESIDENCE HALL,115
BATTERY,FEDERAL BUILDING,114
ARSON,SMALL RETAIL STORE,114
KIDNAPPING,PARKING LOT/GARAGE(NON.RESID.),114
CRIMINAL TRESPASS,SCHOOL - PUBLIC BUILDING,113
CRIMINAL DAMAGE,AIRPORT EXTERIOR - NON-SECURE AREA,113
PUBLIC PEACE VIOLATION,ABANDONED BUILDING,113
DECEPTIVE PRACTICE,CTA BUS STOP,113
OFFENSE INVOLVING CHILDREN,RESIDENTIAL YARD (FRONT/BACK),113
BURGLARY,HOSPITAL BUILDING/GROUNDS,113
NARCOTICS,BARBERSHOP,113
OTHER OFFENSE,CTA BUS STOP,112
ROBBERY,CONSTRUCTION SITE,112
ROBBERY,TAVERN / LIQUOR STORE,112
MOTOR VEHICLE THEFT,CHA PARKING LOT / GROUNDS,112
MOTOR VEHICLE THEFT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,112
THEFT,OTHER RAILROAD PROPERTY / TRAIN DEPOT,112
OTHER OFFENSE,VEHICLE-COMMERCIAL,112
ASSAULT,AUTO / BOAT / RV DEALERSHIP,111
WEAPONS VIOLATION,CTA BUS,111
ARSON,PARKING LOT/GARAGE(NON.RESID.),111
LIQUOR LAW VIOLATION,"SCHOOL, PUBLIC, GROUNDS",111
CRIMINAL DAMAGE,POOL ROOM,110
PUBLIC PEACE VIOLATION,CONVENIENCE STORE,110
BURGLARY,BANK,110
LIQUOR LAW VIOLATION,PARKING LOT/GARAGE(NON.RESID.),110
INTERFERENCE WITH PUBLIC OFFICER,GOVERNMENT BUILDING/PROPERTY,109
DECEPTIVE PRACTICE,SAVINGS AND LOAN,108
GAMBLING,RESIDENCE,108
DECEPTIVE PRACTICE,VACANT LOT/LAND,107
DECEPTIVE PRACTICE,CONSTRUCTION SITE,107
BURGLARY,SCHOOL - PUBLIC BUILDING,107
SEX OFFENSE,DEPARTMENT STORE,107
INTERFERENCE WITH PUBLIC OFFICER,CHA PARKING LOT/GROUNDS,107
LIQUOR LAW VIOLATION,APARTMENT,105
NARCOTICS,LIBRARY,105
CRIMINAL DAMAGE,BRIDGE,105
ASSAULT,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,105
CRIMINAL TRESPASS,CTA TRACKS - RIGHT OF WAY,104
THEFT,FACTORY / MANUFACTURING BUILDING,104
INTIMIDATION,RESIDENCE PORCH/HALLWAY,104
HOMICIDE,HALLWAY,104
NARCOTICS,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,104
ASSAULT,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,103
DECEPTIVE PRACTICE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,102
BATTERY,BRIDGE,102
OFFENSE INVOLVING CHILDREN,OTHER (SPECIFY),101
CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS",101
NARCOTICS,BANK,101
BATTERY,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,100
THEFT,SCHOOL - PRIVATE GROUNDS,100
KIDNAPPING,POLICE FACILITY/VEH PARKING LOT,99
NARCOTICS,WAREHOUSE,99
THEFT,SCHOOL - PRIVATE BUILDING,98
SEX OFFENSE,DAY CARE CENTER,98
MOTOR VEHICLE THEFT,CONSTRUCTION SITE,98
THEFT,CREDIT UNION,98
THEFT,AIRPORT TRANSPORTATION SYSTEM (ATS),98
GAMBLING,"SCHOOL, PUBLIC, BUILDING",97
OTHER OFFENSE,RESIDENCE - GARAGE,97
THEFT,VEHICLE - OTHER RIDE SERVICE,97
CRIMINAL DAMAGE,SCHOOL - PRIVATE BUILDING,97
GAMBLING,ABANDONED BUILDING,97
HOMICIDE,RETAIL STORE,96
PUBLIC PEACE VIOLATION,OTHER (SPECIFY),95
WEAPONS VIOLATION,TAVERN/LIQUOR STORE,95
MOTOR VEHICLE THEFT,AIRPORT EXTERIOR - NON-SECURE AREA,95
CRIMINAL DAMAGE,AUTO / BOAT / RV DEALERSHIP,95
THEFT,FOREST PRESERVE,94
MOTOR VEHICLE THEFT,HOTEL / MOTEL,94
CRIMINAL TRESPASS,FEDERAL BUILDING,94
WEAPONS VIOLATION,COMMERCIAL / BUSINESS OFFICE,93
BATTERY,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",91
ASSAULT,POLICE FACILITY / VEHICLE PARKING LOT,91
ROBBERY,VACANT LOT / LAND,91
KIDNAPPING,VEHICLE NON-COMMERCIAL,91
OTHER OFFENSE,OTHER COMMERCIAL TRANSPORTATION,91
NARCOTICS,OTHER (SPECIFY),91
PUBLIC PEACE VIOLATION,NURSING HOME/RETIREMENT HOME,91
CRIMINAL TRESPASS,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,90
PUBLIC PEACE VIOLATION,CHA APARTMENT,90
ROBBERY,OTHER COMMERCIAL TRANSPORTATION,90
DECEPTIVE PRACTICE,ABANDONED BUILDING,90
ASSAULT,FACTORY / MANUFACTURING BUILDING,89
PROSTITUTION,GAS STATION,89
ASSAULT,SCHOOL - PRIVATE BUILDING,89
STALKING,RESIDENCE PORCH/HALLWAY,89
SEX OFFENSE,GAS STATION,89
SEX OFFENSE,SCHOOL - PUBLIC GROUNDS,89
CRIMINAL DAMAGE,SCHOOL - PRIVATE GROUNDS,88
BATTERY,BOAT/WATERCRAFT,88
ASSAULT,COIN OPERATED MACHINE,88
DECEPTIVE PRACTICE,FEDERAL BUILDING,88
PUBLIC PEACE VIOLATION,RESIDENCE-GARAGE,87
BATTERY,VEHICLE - OTHER RIDE SERVICE,87
DECEPTIVE PRACTICE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,87
PUBLIC PEACE VIOLATION,CTA STATION,87
BURGLARY,COIN OPERATED MACHINE,87
SEX OFFENSE,GOVERNMENT BUILDING/PROPERTY,87
MOTOR VEHICLE THEFT,VEHICLE-COMMERCIAL,87
SEX OFFENSE,CTA BUS STOP,87
LIQUOR LAW VIOLATION,COMMERCIAL / BUSINESS OFFICE,86
MOTOR VEHICLE THEFT,GOVERNMENT BUILDING/PROPERTY,86
STALKING,RESTAURANT,85
ARSON,GROCERY FOOD STORE,85
OFFENSE INVOLVING CHILDREN,HOTEL/MOTEL,85
CRIMINAL SEXUAL ASSAULT,PARKING LOT / GARAGE (NON RESIDENTIAL),85
ASSAULT,ABANDONED BUILDING,85
WEAPONS VIOLATION,POLICE FACILITY/VEH PARKING LOT,85
CRIMINAL SEXUAL ASSAULT,BAR OR TAVERN,84
ROBBERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,84
ROBBERY,HOSPITAL BUILDING/GROUNDS,84
SEX OFFENSE,MEDICAL/DENTAL OFFICE,84
PUBLIC PEACE VIOLATION,TAVERN/LIQUOR STORE,84
OTHER OFFENSE,HIGHWAY/EXPRESSWAY,84
DECEPTIVE PRACTICE,DRIVEWAY - RESIDENTIAL,83
PUBLIC PEACE VIOLATION,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,83
THEFT,JAIL / LOCK-UP FACILITY,83
LIQUOR LAW VIOLATION,SMALL RETAIL STORE,83
CRIMINAL TRESPASS,VEHICLE-COMMERCIAL,83
MOTOR VEHICLE THEFT,OTHER COMMERCIAL TRANSPORTATION,83
MOTOR VEHICLE THEFT,WAREHOUSE,82
OFFENSE INVOLVING CHILDREN,GAS STATION,82
CRIMINAL DAMAGE,COLLEGE/UNIVERSITY RESIDENCE HALL,81
HOMICIDE,GAS STATION,81
ARSON,COMMERCIAL / BUSINESS OFFICE,81
ASSAULT,VACANT LOT / LAND,81
MOTOR VEHICLE THEFT,RESIDENCE PORCH/HALLWAY,80
BATTERY,CTA PARKING LOT / GARAGE / OTHER PROPERTY,80
ROBBERY,POLICE FACILITY/VEH PARKING LOT,80
WEAPONS VIOLATION,HOTEL/MOTEL,79
CRIMINAL TRESPASS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,79
OTHER OFFENSE,COLLEGE/UNIVERSITY RESIDENCE HALL,79
CRIMINAL DAMAGE,VEHICLE - COMMERCIAL,79
INTERFERENCE WITH PUBLIC OFFICER,HOSPITAL BUILDING/GROUNDS,79
WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,78
PUBLIC PEACE VIOLATION,COLLEGE/UNIVERSITY GROUNDS,78
THEFT,SAVINGS AND LOAN,78
PUBLIC PEACE VIOLATION,SCHOOL - PUBLIC BUILDING,78
NARCOTICS,NURSING / RETIREMENT HOME,77
ROBBERY,WAREHOUSE,77
MOTOR VEHICLE THEFT,COLLEGE/UNIVERSITY GROUNDS,77
SEX OFFENSE,RESIDENCE-GARAGE,77
ARSON,VEHICLE-COMMERCIAL,77
THEFT,NEWSSTAND,77
BURGLARY,ANIMAL HOSPITAL,77
INTERFERENCE WITH PUBLIC OFFICER,VACANT LOT/LAND,76
OTHER OFFENSE,CONSTRUCTION SITE,76
OFFENSE INVOLVING CHILDREN,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,76
BATTERY,AIRPORT PARKING LOT,76
BATTERY,VEHICLE - COMMERCIAL,76
DECEPTIVE PRACTICE,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,76
KIDNAPPING,PARK PROPERTY,75
ASSAULT,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,75
ROBBERY,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",75
MOTOR VEHICLE THEFT,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,75
OFFENSE INVOLVING CHILDREN,SCHOOL - PUBLIC GROUNDS,75
CRIMINAL TRESPASS,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,74
OTHER OFFENSE,VACANT LOT / LAND,74
BATTERY,FACTORY / MANUFACTURING BUILDING,74
HOMICIDE,GANGWAY,74
OTHER OFFENSE,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,73
CRIMINAL TRESPASS,CTA BUS STOP,73
SEX OFFENSE,TAXICAB,73
BATTERY,FOREST PRESERVE,73
CRIM SEXUAL ASSAULT,"SCHOOL, PRIVATE, BUILDING",73
OTHER OFFENSE,CTA STATION,73
STALKING,COMMERCIAL / BUSINESS OFFICE,73
SEX OFFENSE,NURSING / RETIREMENT HOME,73
CRIMINAL DAMAGE,BOAT/WATERCRAFT,72
DECEPTIVE PRACTICE,RESIDENCE - PORCH / HALLWAY,72
HOMICIDE,GARAGE,72
NARCOTICS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,72
OTHER OFFENSE,OTHER RAILROAD PROP / TRAIN DEPOT,72
DECEPTIVE PRACTICE,PAWN SHOP,72
ROBBERY,"SCHOOL, PRIVATE, GROUNDS",72
INTIMIDATION,RESTAURANT,72
ARSON,RESIDENCE - PORCH / HALLWAY,71
CRIMINAL TRESPASS,DAY CARE CENTER,71
ROBBERY,APPLIANCE STORE,71
NARCOTICS,CLEANING STORE,71
HOMICIDE,GAS STATION DRIVE/PROP.,71
THEFT,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",71
PUBLIC PEACE VIOLATION,DRUG STORE,70
THEFT,COLLEGE / UNIVERSITY - GROUNDS,70
MOTOR VEHICLE THEFT,OTHER RAILROAD PROP / TRAIN DEPOT,70
DECEPTIVE PRACTICE,"SCHOOL, PRIVATE, GROUNDS",70
KIDNAPPING,"SCHOOL, PUBLIC, BUILDING",70
BURGLARY,RESIDENCE - YARD (FRONT / BACK),69
BURGLARY,MEDICAL / DENTAL OFFICE,69
SEX OFFENSE,CTA STATION,69
DECEPTIVE PRACTICE,ANIMAL HOSPITAL,68
ASSAULT,AIRPORT EXTERIOR - NON-SECURE AREA,68
ARSON,SIDEWALK,68
WEAPONS VIOLATION,SCHOOL - PUBLIC BUILDING,68
BURGLARY,PAWN SHOP,68
NARCOTICS,SCHOOL - PUBLIC BUILDING,67
INTIMIDATION,POLICE FACILITY/VEH PARKING LOT,67
PUBLIC PEACE VIOLATION,"SCHOOL, PRIVATE, GROUNDS",67
ASSAULT,PAWN SHOP,66
KIDNAPPING,RESTAURANT,66
PUBLIC PEACE VIOLATION,LIBRARY,66
BATTERY,LAKEFRONT / WATERFRONT / RIVERBANK,66
WEAPONS VIOLATION,OTHER (SPECIFY),66
ARSON,CHA APARTMENT,66
OTHER OFFENSE,APPLIANCE STORE,66
BATTERY,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,66
CRIMINAL TRESPASS,SCHOOL - PRIVATE GROUNDS,66
GAMBLING,CHA HALLWAY/STAIRWELL/ELEVATOR,66
WEAPONS VIOLATION,CTA BUS STOP,66
THEFT,CHA HALLWAY / STAIRWELL / ELEVATOR,65
ROBBERY,DELIVERY TRUCK,65
PUBLIC PEACE VIOLATION,OTHER RAILROAD PROP / TRAIN DEPOT,64
INTIMIDATION,COMMERCIAL / BUSINESS OFFICE,64
THEFT,MOVIE HOUSE / THEATER,64
DECEPTIVE PRACTICE,SCHOOL - PUBLIC BUILDING,64
INTERFERENCE WITH PUBLIC OFFICER,"SCHOOL, PUBLIC, BUILDING",64
CRIMINAL TRESPASS,APPLIANCE STORE,64
WEAPONS VIOLATION,HOSPITAL BUILDING/GROUNDS,63
CRIMINAL TRESPASS,POLICE FACILITY / VEHICLE PARKING LOT,63
MOTOR VEHICLE THEFT,SCHOOL - PUBLIC GROUNDS,63
INTERFERENCE WITH PUBLIC OFFICER,RESTAURANT,63
ROBBERY,COLLEGE/UNIVERSITY GROUNDS,63
BATTERY,FIRE STATION,63
CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC BUILDING,62
PROSTITUTION,COMMERCIAL / BUSINESS OFFICE,62
MOTOR VEHICLE THEFT,VEHICLE - COMMERCIAL,62
THEFT,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,62
CRIMINAL TRESPASS,AIRPORT EXTERIOR - NON-SECURE AREA,62
OTHER OFFENSE,SCHOOL - PRIVATE BUILDING,61
HOMICIDE,RESTAURANT,61
ASSAULT,ANIMAL HOSPITAL,61
BURGLARY,DRIVEWAY - RESIDENTIAL,60
DECEPTIVE PRACTICE,BOWLING ALLEY,60
DECEPTIVE PRACTICE,TAVERN / LIQUOR STORE,60
CRIM SEXUAL ASSAULT,RESTAURANT,59
STALKING,PARKING LOT/GARAGE(NON.RESID.),59
GAMBLING,VACANT LOT/LAND,59
INTERFERENCE WITH PUBLIC OFFICER,CTA STATION,59
ASSAULT,,59
ROBBERY,BRIDGE,59
OTHER OFFENSE,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,59
CRIMINAL TRESPASS,CHA PARKING LOT / GROUNDS,59
PUBLIC PEACE VIOLATION,PARKING LOT / GARAGE (NON RESIDENTIAL),59
ARSON,DRIVEWAY - RESIDENTIAL,58
CRIMINAL DAMAGE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,58
LIQUOR LAW VIOLATION,CHA PARKING LOT/GROUNDS,58
LIQUOR LAW VIOLATION,CTA TRAIN,58
LIQUOR LAW VIOLATION,DRUG STORE,58
ROBBERY,SPORTS ARENA/STADIUM,58
WEAPONS VIOLATION,BARBERSHOP,58
HOMICIDE,CHA PARKING LOT,58
PUBLIC PEACE VIOLATION,CTA GARAGE / OTHER PROPERTY,58
OTHER OFFENSE,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,57
CRIMINAL DAMAGE,LAKEFRONT/WATERFRONT/RIVERBANK,57
NARCOTICS,FACTORY/MANUFACTURING BUILDING,57
THEFT,BRIDGE,57
SEX OFFENSE,HOTEL / MOTEL,57
BURGLARY,HOTEL / MOTEL,57
ROBBERY,FACTORY/MANUFACTURING BUILDING,57
DECEPTIVE PRACTICE,VEHICLE - OTHER RIDE SERVICE,57
SEX OFFENSE,VACANT LOT/LAND,57
BURGLARY,MOVIE HOUSE/THEATER,57
PUBLIC PEACE VIOLATION,MEDICAL/DENTAL OFFICE,57
ROBBERY,LAKEFRONT/WATERFRONT/RIVERBANK,57
BATTERY,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,56
OTHER OFFENSE,SCHOOL - PRIVATE GROUNDS,56
LIQUOR LAW VIOLATION,RESIDENCE PORCH/HALLWAY,56
CRIMINAL DAMAGE,PAWN SHOP,56
BURGLARY,CTA GARAGE / OTHER PROPERTY,56
CRIMINAL DAMAGE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,56
ROBBERY,PAWN SHOP,56
OTHER OFFENSE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,56
WEAPONS VIOLATION,SCHOOL - PUBLIC GROUNDS,56
CRIMINAL DAMAGE,NURSING / RETIREMENT HOME,56
OBSCENITY,"SCHOOL, PUBLIC, BUILDING",55
SEX OFFENSE,COLLEGE/UNIVERSITY GROUNDS,55
NARCOTICS,SCHOOL - PUBLIC GROUNDS,55
GAMBLING,APARTMENT,55
BURGLARY,LIBRARY,55
SEX OFFENSE,CHA PARKING LOT/GROUNDS,55
ASSAULT,AIRPORT PARKING LOT,54
ROBBERY,CHA PARKING LOT / GROUNDS,54
PUBLIC PEACE VIOLATION,CTA BUS STOP,54
CRIMINAL TRESPASS,SCHOOL - PUBLIC GROUNDS,54
PUBLIC PEACE VIOLATION,HIGHWAY/EXPRESSWAY,54
ROBBERY,LIBRARY,54
MOTOR VEHICLE THEFT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,54
ROBBERY,GOVERNMENT BUILDING/PROPERTY,54
BURGLARY,COLLEGE/UNIVERSITY RESIDENCE HALL,53
OFFENSE INVOLVING CHILDREN,SMALL RETAIL STORE,53
CRIMINAL TRESPASS,SPORTS ARENA / STADIUM,53
ARSON,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,53
BURGLARY,"SCHOOL, PRIVATE, GROUNDS",53
CRIMINAL DAMAGE,FACTORY / MANUFACTURING BUILDING,53
SEX OFFENSE,ABANDONED BUILDING,53
BATTERY,HIGHWAY / EXPRESSWAY,53
CRIMINAL DAMAGE,DELIVERY TRUCK,53
INTERFERENCE WITH PUBLIC OFFICER,ABANDONED BUILDING,53
MOTOR VEHICLE THEFT,DEPARTMENT STORE,53
BURGLARY,FACTORY / MANUFACTURING BUILDING,52
OFFENSE INVOLVING CHILDREN,GROCERY FOOD STORE,52
THEFT,HIGHWAY/EXPRESSWAY,52
OFFENSE INVOLVING CHILDREN,COMMERCIAL / BUSINESS OFFICE,52
KIDNAPPING,RESIDENCE PORCH/HALLWAY,52
PUBLIC PEACE VIOLATION,POLICE FACILITY / VEHICLE PARKING LOT,52
DECEPTIVE PRACTICE,VEHICLE - COMMERCIAL,52
OFFENSE INVOLVING CHILDREN,PARKING LOT / GARAGE (NON RESIDENTIAL),52
ASSAULT,LAKEFRONT/WATERFRONT/RIVERBANK,52
CONCEALED CARRY LICENSE VIOLATION,SIDEWALK,52
OTHER OFFENSE,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,51
DECEPTIVE PRACTICE,RESIDENCE - GARAGE,51
SEX OFFENSE,POLICE FACILITY/VEH PARKING LOT,51
BURGLARY,OTHER RAILROAD PROPERTY / TRAIN DEPOT,51
CONCEALED CARRY LICENSE VIOLATION,VEHICLE NON-COMMERCIAL,51
STALKING,ALLEY,51
BURGLARY,OTHER COMMERCIAL TRANSPORTATION,51
ARSON,PARKING LOT / GARAGE (NON RESIDENTIAL),51
PUBLIC PEACE VIOLATION,FEDERAL BUILDING,51
PUBLIC PEACE VIOLATION,RESIDENCE - YARD (FRONT / BACK),51
OTHER OFFENSE,MOVIE HOUSE/THEATER,51
DECEPTIVE PRACTICE,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",51
PUBLIC PEACE VIOLATION,CURRENCY EXCHANGE,51
INTERFERENCE WITH PUBLIC OFFICER,CTA BUS STOP,51
CRIM SEXUAL ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,51
MOTOR VEHICLE THEFT,FACTORY/MANUFACTURING BUILDING,50
ASSAULT,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,50
DECEPTIVE PRACTICE,SCHOOL - PRIVATE BUILDING,50
INTIMIDATION,SMALL RETAIL STORE,50
CRIMINAL DAMAGE,FEDERAL BUILDING,50
MOTOR VEHICLE THEFT,POLICE FACILITY / VEHICLE PARKING LOT,50
CRIMINAL TRESPASS,COIN OPERATED MACHINE,50
WEAPONS VIOLATION,GOVERNMENT BUILDING/PROPERTY,50
CRIMINAL DAMAGE,BOWLING ALLEY,50
OFFENSE INVOLVING CHILDREN,CHA PARKING LOT/GROUNDS,50
CRIM SEXUAL ASSAULT,GAS STATION,50
OTHER OFFENSE,AUTO / BOAT / RV DEALERSHIP,50
BURGLARY,POOL ROOM,49
CRIM SEXUAL ASSAULT,COLLEGE/UNIVERSITY RESIDENCE HALL,49
WEAPONS VIOLATION,DEPARTMENT STORE,49
OFFENSE INVOLVING CHILDREN,"SCHOOL, PRIVATE, GROUNDS",49
WEAPONS VIOLATION,RESIDENCE - GARAGE,49
CRIMINAL DAMAGE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,49
CRIM SEXUAL ASSAULT,DAY CARE CENTER,49
INTERFERENCE WITH PUBLIC OFFICER,SMALL RETAIL STORE,49
INTERFERENCE WITH PUBLIC OFFICER,PARKING LOT / GARAGE (NON RESIDENTIAL),49
BATTERY,MOVIE HOUSE / THEATER,49
CRIMINAL TRESPASS,GOVERNMENT BUILDING / PROPERTY,49
CRIMINAL TRESPASS,SCHOOL - PRIVATE BUILDING,49
CRIMINAL DAMAGE,SAVINGS AND LOAN,48
PUBLIC PEACE VIOLATION,WAREHOUSE,48
DECEPTIVE PRACTICE,RESIDENCE - YARD (FRONT / BACK),48
STALKING,SMALL RETAIL STORE,48
ASSAULT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,48
INTERFERENCE WITH PUBLIC OFFICER,JAIL / LOCK-UP FACILITY,48
MOTOR VEHICLE THEFT,"SCHOOL, PRIVATE, GROUNDS",48
CRIMINAL TRESPASS,BOAT/WATERCRAFT,48
ASSAULT,POOL ROOM,48
NARCOTICS,TAXICAB,48
PUBLIC PEACE VIOLATION,CHA HALLWAY/STAIRWELL/ELEVATOR,48
WEAPONS VIOLATION,CTA STATION,48
ASSAULT,COLLEGE/UNIVERSITY RESIDENCE HALL,48
INTIMIDATION,ALLEY,48
BATTERY,AIRPORT EXTERIOR - SECURE AREA,47
SEX OFFENSE,CHA HALLWAY/STAIRWELL/ELEVATOR,47
OTHER OFFENSE,TAXICAB,47
OTHER OFFENSE,FIRE STATION,47
CRIMINAL DAMAGE,OTHER RAILROAD PROPERTY / TRAIN DEPOT,47
DECEPTIVE PRACTICE,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",47
CRIMINAL SEXUAL ASSAULT,RESIDENCE - YARD (FRONT / BACK),47
DECEPTIVE PRACTICE,COLLEGE/UNIVERSITY RESIDENCE HALL,47
ROBBERY,"SCHOOL, PRIVATE, BUILDING",47
CRIMINAL DAMAGE,,47
PUBLIC PEACE VIOLATION,SPORTS ARENA/STADIUM,47
WEAPONS VIOLATION,HOSPITAL BUILDING / GROUNDS,47
ROBBERY,CHA HALLWAY / STAIRWELL / ELEVATOR,47
SEX OFFENSE,PARKING LOT / GARAGE (NON RESIDENTIAL),46
ASSAULT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",46
CRIM SEXUAL ASSAULT,VEHICLE-COMMERCIAL,46
STALKING,"SCHOOL, PUBLIC, BUILDING",46
NARCOTICS,LAKEFRONT/WATERFRONT/RIVERBANK,46
HOMICIDE,CHA GROUNDS,46
PROSTITUTION,RESIDENCE PORCH/HALLWAY,46
OTHER OFFENSE,CHA PARKING LOT / GROUNDS,46
PUBLIC PEACE VIOLATION,BARBERSHOP,45
NARCOTICS,FEDERAL BUILDING,45
CRIMINAL TRESPASS,AIRPORT EXTERIOR - SECURE AREA,45
KIDNAPPING,GAS STATION,45
NARCOTICS,CURRENCY EXCHANGE,45
OFFENSE INVOLVING CHILDREN,HOSPITAL BUILDING / GROUNDS,45
PUBLIC PEACE VIOLATION,FACTORY/MANUFACTURING BUILDING,45
INTIMIDATION,PARKING LOT/GARAGE(NON.RESID.),45
CRIMINAL TRESPASS,FIRE STATION,44
CRIM SEXUAL ASSAULT,COMMERCIAL / BUSINESS OFFICE,44
CRIM SEXUAL ASSAULT,TAXICAB,44
OBSCENITY,OTHER,44
INTERFERENCE WITH PUBLIC OFFICER,CTA TRAIN,44
CRIMINAL TRESPASS,BRIDGE,44
MOTOR VEHICLE THEFT,CONVENIENCE STORE,44
SEX OFFENSE,ATHLETIC CLUB,44
MOTOR VEHICLE THEFT,NURSING HOME/RETIREMENT HOME,44
ASSAULT,BOWLING ALLEY,44
ROBBERY,SCHOOL - PUBLIC GROUNDS,44
CRIMINAL TRESPASS,HIGHWAY/EXPRESSWAY,43
CRIMINAL SEXUAL ASSAULT,RESIDENCE - PORCH / HALLWAY,43
WEAPONS VIOLATION,OTHER RAILROAD PROP / TRAIN DEPOT,43
BURGLARY,VEHICLE-COMMERCIAL,43
